 8203  11.516807 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x839b A wpad
 8224  11.616375 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x839b A wpad
 8407  12.291434 fe80::d4a3:86f2:db0c:f997 → ff02::1:2    DHCPv6 146 Solicit XID: 0xfc6c33 CID: 00010001183bada114dae9e0ba40 
 8409  12.301925 fe80::742f:417e:5627:db09 → ff02::1:3    LLMNR 84 Standard query 0xac1c A wpad
 8437  12.408692 fe80::742f:417e:5627:db09 → ff02::1:3    LLMNR 84 Standard query 0xac1c A wpad
 9639  14.024639 fe80::d86b:2019:b55b:f678 → ff02::1:2    DHCPv6 148 Solicit XID: 0x9fb600 CID: 000100011b203ea7ecf4bb3b3726 
 9711  14.177776 fe80::95fe:5e1e:4f43:bd30 → ff02::1:2    DHCPv6 153 Solicit XID: 0x420b76 CID: 000100011ba9582740167e6ed37d 
 9759  14.291538 fe80::d4a3:86f2:db0c:f997 → ff02::1:2    DHCPv6 146 Solicit XID: 0xfc6c33 CID: 00010001183bada114dae9e0ba40 
10280  14.687117 fe80::3474:2d40:c9d0:a58 → ff02::1:2    DHCPv6 153 Solicit XID: 0xa6aff3 CID: 00010001183ba2415404a660e802 
11146  14.934505 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x0fc4 A wpad
11326  15.032796 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x0fc4 A wpad
13004  17.128524 fe80::d4a3:86f2:db0c:f997 → ff02::1:3    LLMNR 84 Standard query 0x371f A wpad
13074  17.228609 fe80::d4a3:86f2:db0c:f997 → ff02::1:3    LLMNR 84 Standard query 0x371f A wpad
13230  17.595500 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xfef8 A wpad
13248  17.700407 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xfef8 A wpad
13282  17.883921 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
13283  17.885082 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
13284  17.887587 fe80::bd88:52bc:9337:6a6e → ff02::1:ff73:86a4 ICMPv6 86 Neighbor Solicitation for fe80::557b:8a53:773:86a4 from 94:de:80:7a:6e:c4
13285  17.887977 fe80::557b:8a53:773:86a4 → ff02::1:ff37:6a6e ICMPv6 86 Neighbor Solicitation for fe80::bd88:52bc:9337:6a6e from 74:27:ea:ba:e0:f0
13286  17.888200 fe80::bd88:52bc:9337:6a6e → ff02::1:ff85:983a ICMPv6 86 Neighbor Solicitation for fe80::a5b0:7f7:6d85:983a from 94:de:80:7a:6e:c4
13288  17.889121 fe80::a5b0:7f7:6d85:983a → ff02::1:ff37:6a6e ICMPv6 86 Neighbor Solicitation for fe80::bd88:52bc:9337:6a6e from a4:1f:72:70:e4:a7
13289  17.889518 fe80::bd88:52bc:9337:6a6e → ff02::1:ff4e:501d ICMPv6 86 Neighbor Solicitation for fe80::f585:875a:594e:501d from 94:de:80:7a:6e:c4
13290  17.889982 fe80::f585:875a:594e:501d → ff02::1:ff37:6a6e ICMPv6 86 Neighbor Solicitation for fe80::bd88:52bc:9337:6a6e from 1c:6f:65:3f:be:20
13291  17.890125 fe80::bd88:52bc:9337:6a6e → ff02::1:ff24:d055 ICMPv6 86 Neighbor Solicitation for fe80::cc91:dc08:9f24:d055 from 94:de:80:7a:6e:c4
13292  17.890297 fe80::cc91:dc08:9f24:d055 → ff02::1:ff37:6a6e ICMPv6 86 Neighbor Solicitation for fe80::bd88:52bc:9337:6a6e from 00:1d:09:0f:8a:e6
13293  17.890692 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
13294  17.890701 fe80::bd88:52bc:9337:6a6e → ff02::1:ffdd:20bd ICMPv6 86 Neighbor Solicitation for fe80::c990:30a8:edd:20bd from 94:de:80:7a:6e:c4
13295  17.892485 fe80::c990:30a8:edd:20bd → ff02::1:ff37:6a6e ICMPv6 86 Neighbor Solicitation for fe80::bd88:52bc:9337:6a6e from 40:16:7e:3b:e6:84
13423  18.291763 fe80::d4a3:86f2:db0c:f997 → ff02::1:2    DHCPv6 146 Solicit XID: 0xfc6c33 CID: 00010001183bada114dae9e0ba40 
13627  18.891151 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
16808  20.067545 fe80::a4b9:5c04:70de:52ae → ff02::1:2    DHCPv6 147 Solicit XID: 0x832306 CID: 000100011d00eb2bbc5ff4e20e34 
17232  20.163386 fe80::c990:30a8:edd:20bd → ff02::c      SSDP 208 M-SEARCH * HTTP/1.1 
17821  20.399769 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xc4bf A wpad
17860  20.508422 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xc4bf A wpad
18007  20.884557 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
18008  20.885533 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
18011  20.891255 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
18112  21.185757 fe80::16da:e9ff:fe6e:4c7e → ff02::fb     MDNS 101 Standard query 0x0000 PTR _sane-port._tcp.local, "QM" question
18132  21.250193 fe80::e269:95ff:fef9:aa78 → ff02::fb     MDNS 200 Standard query response 0x0000 PTR saned._sane-port._tcp.local TXT, cache flush SRV, cache flush 0 0 6566 urbana.local AAAA, cache flush fe80::e269:95ff:fef9:aa78
18283  21.641434 fe80::557b:8a53:773:86a4 → ff02::1:ffdd:20bd ICMPv6 86 Neighbor Solicitation for fe80::c990:30a8:edd:20bd from 74:27:ea:ba:e0:f0
18284  21.641891 fe80::c990:30a8:edd:20bd → ff02::1:ff73:86a4 ICMPv6 86 Neighbor Solicitation for fe80::557b:8a53:773:86a4 from 40:16:7e:3b:e6:84
18552  22.159108 fe80::a5b0:7f7:6d85:983a → ff02::1:2    DHCPv6 151 Solicit XID: 0xd61151 CID: 0001000119bbbcf670188b46f534 
19264  23.071697 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xb5a3 A wpad
19372  23.163113 fe80::c990:30a8:edd:20bd → ff02::c      SSDP 208 M-SEARCH * HTTP/1.1 
19376  23.176019 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xb5a3 A wpad
22272  23.884473 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
22273  23.885464 fe80::bd88:52bc:9337:6a6e → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
24014  24.872942 fe80::d45:f230:3eef:5ea8 → ff02::1:2    DHCPv6 147 Solicit XID: 0x4a0f0a CID: 0001000116f4cbac001ec94c046e 
24021  24.891422 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
28504  25.876797 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xe3b5 A wpad
28632  25.984390 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0xe3b5 A wpad
28811  26.163810 fe80::c990:30a8:edd:20bd → ff02::c      SSDP 208 M-SEARCH * HTTP/1.1 
28951  26.292243 fe80::d4a3:86f2:db0c:f997 → ff02::1:2    DHCPv6 146 Solicit XID: 0xfc6c33 CID: 00010001183bada114dae9e0ba40 
29549  27.190192 fe80::500e:59cb:3392:de08 → ff02::1:2    DHCPv6 151 Solicit XID: 0x35ba37 CID: 000100011bee4b0054a050509150 
33063  28.548475 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x5254 A wpad
33130  28.651802 fe80::dcaa:4ac:327:8525 → ff02::1:3    LLMNR 84 Standard query 0x5254 A wpad
33858  29.820122 fe80::546f:af6e:cc7a:2655 → ff02::1:2    DHCPv6 154 Solicit XID: 0x3beb50 CID: 000100011a1691fad850e656b2b6 
33979  30.030424 fe80::d86b:2019:b55b:f678 → ff02::1:2    DHCPv6 148 Solicit XID: 0x9fb600 CID: 000100011b203ea7ecf4bb3b3726 
34074  30.178463 fe80::95fe:5e1e:4f43:bd30 → ff02::1:2    DHCPv6 153 Solicit XID: 0x420b76 CID: 000100011ba9582740167e6ed37d 
35006  30.968220 fe80::225:b3ff:fefb:cc3b → ff02::1:2    DHCPv6 135 Solicit XID: 0x5259 CID: 00020000000b0025b3fbcc3b 
36903  31.622087 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xf37c A TALLERDAYFISA
37067  31.721713 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xf37c A TALLERDAYFISA
37812  32.427746 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0x95b3 A wpad
37846  32.527095 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0x95b3 A wpad
37980  32.893815 fe80::4c6e:a04d:ecfe:f632 → ff02::1:2    DHCPv6 150 Solicit XID: 0x572c43 CID: 000100011a1d4ba6d850e656afbc 
40251  33.934115 fe80::385c:5938:4c64:722a → ff02::1:2    DHCPv6 153 Solicit XID: 0xa73b74 CID: 000100011d4a4f700862667c0b7a 
40543  34.172552 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xc43a A TALLERDAYFISA
41069  34.272860 fe80::3474:2d40:c9d0:a58 → ff02::1:3    LLMNR 93 Standard query 0xc43a A TALLERDAYFISA
42678  34.773753 fe80::c8:b388:4a0:2517 → ff02::1:2    DHCPv6 159 Solicit XID: 0x67f420 CID: 000100011a25db176c626da70235 
43102  35.005628 fe80::e00c:9d0b:21bf:997d → ff02::1:2    DHCPv6 150 Solicit XID: 0xb35cca CID: 0001000119e9e4a494de807a6886 
43422  35.243344 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0x9f2a A wpad
43565  35.343305 fe80::c5eb:59c7:f959:5107 → ff02::1:3    LLMNR 84 Standard query 0x9f2a A wpad
44532  36.181922 fe80::221:5aff:fe93:8dd0 → ff02::1:2    DHCPv6 128 Solicit XID: 0x7e05 CID: 00020000000b00215a938dd0 
44664  36.588704 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 181 M-SEARCH * HTTP/1.1 
44665  36.589603 fe80::d4a3:86f2:db0c:f997 → ff02::c      SSDP 179 M-SEARCH * HTTP/1.1 
44666  36.590928 fe80::d4a3:86f2:db0c:f997 → ff02::1:ff73:86a4 ICMPv6 86 Neighbor Solicitation for fe80::557b:8a53:773:86a4 from 14:da:e9:6e:4c:8f
44667  36.591224 fe80::d4a3:86f2:db0c:f997 → ff02::1:ff85:983a ICMPv6 86 Neighbor Solicitation for fe80::a5b0:7f7:6d85:983a from 14:da:e9:6e:4c:8f
44668  36.591309 fe80::557b:8a53:773:86a4 → ff02::1:ff0c:f997 ICMPv6 86 Neighbor Solicitation for fe80::d4a3:86f2:db0c:f997 from 74:27:ea:ba:e0:f0
44669  36.591398 fe80::a5b0:7f7:6d85:983a → ff02::1:ff0c:f997 ICMPv6 86 Neighbor Solicitation for fe80::d4a3:86f2:db0c:f997 from a4:1f:72:70:e4:a7
44670  36.591920 fe80::d4a3:86f2:db0c:f997 → ff02::1:ffdd:20bd ICMPv6 86 Neighbor Solicitation for fe80::c990:30a8:edd:20bd from 14:da:e9:6e:4c:8f
44671  36.592486 fe80::c990:30a8:edd:20bd → ff02::1:ff0c:f997 ICMPv6 86 Neighbor Solicitation for fe80::d4a3:86f2:db0c:f997 from 40:16:7e:3b:e6:84
44672  36.592531 fe80::d4a3:86f2:db0c:f997 → ff02::1:ff4e:501d ICMPv6 86 Neighbor Solicitation for fe80::f585:875a:594e:501d from 14:da:e9:6e:4c:8f
