46814,2334,11
33790,124239,128
49956,811,5
33791,170827,164
55377,6652,10
46830,1845,9
46823,1224,7
40162,1557,5
49877,2109,7
46751,735,5
46744,609,4
33792,155512,153
51453,1622,5
33200,23080,21
57063,1690967,1133
46832,12774,51
46739,735,5
57057,845,5
33787,131899,136
46819,1224,7
40158,1557,5
46761,735,5
33788,142232,144
49895,1145,5
33789,123004,126
46756,669,5
40175,1557,5
46837,2202,11
56276,676,3
33207,1197,7
48508,1869,4
45073,1186,7
46773,735,5
46766,669,5
33208,3655,10
38919,7864,14
43562,8370,12
59583,22520,20
46783,735,5
59585,81859,61
39900,255403,185
46849,1158,7
56367,685,5
33896,2707440,1813
46791,1713,9
46857,669,5
56368,685,5
33154,8972,16
40196,5065,9
46872,735,5
46779,669,5
33400,29503,33
46787,669,5
46867,1845,9
54202,682,5
45411,2036,4
43728,1628,5
43585,3245100,2188
33173,695,5
41402,53503,42
54212,682,5
33182,57403,56
33405,23943,22
41405,92035,73
41406,9988,12
54222,695,5
36468,883,5
55930,1498,4
41421,55274,44
41407,12451,16
35907,2135,6
54209,22804,20
57435,30966,26
55917,1498,4
33409,682,5
54217,26055,25
41502,484,5
48495,521,5
33417,5919,10
55860,6437994,4313
54225,682,5
55847,1534759,1032
55934,8236507,5486
33419,695,5
55848,2072650,1396
53600,2659,8
59795,94459,74
41419,485,5
54156,84557,73
59796,27900,24
41427,485,5
41355,65354,52
34156,934403,624
33199,682,5
55865,4808618,3204
46324,2951,9
41429,788,7
46325,1877,7
43699,1630,5
41437,789,7
34159,725,3
42165,11156,47
38328,2869,5
55204,1431334,952
46421,91622,67
54190,682,5
56683,3796,21
55949,1877,7
35882,631995,454
34089,1736,7
80,1074339,12356
56828,497,3
55971,1501,3
55207,435388,294
49491,1869,4
41390,483,5
35883,16404,17
50997,38017,34
35884,88373,78
41377,790,7
36006,52521,41
443,23175,181
41378,28352,24
41472,485,5
34423,1386745,924
41393,16409,16
59236,971,5
43301,1622,5
55969,1621,5
41474,483,5
34425,1087073,728
46371,1756652,1174
44016,6995,12
41389,790,7
44110,484,5
59246,11961,14
54199,26653,24
41484,485,5
41478,485,5
55158,1275592,883
41399,790,7
43306,1620,5
45719,770,5
46447,1876,7
53647,56869,50
55180,1208839,806
55173,2566453,1717
55159,434,5
46375,1338599,897
41487,485,5
54541,5913,23
51085,11264,16
49819,8086,18
54615,2730262,1883
49907,7381,14
49923,790,5
59356,120,2
33903,1636672,1093
43249,6199,13
59291,11671,13
59198,1051,4
51248,9485,9
55360,6091,13
59199,4124,8
46801,1290,7
44065,484,5
43266,434,5
49942,2111,7
57034,1317541,910
46810,669,5
46804,735,5
40143,1558,5
49865,1145,5
49866,3761,8
46734,669,5
