46814,4997,12
33790,18089,104
49956,1199,6
33791,21622,144
55377,1395,11
46830,4178,10
46823,2362,8
40162,1820,6
49877,2960,8
46751,1728,6
46744,290,5
33792,19627,116
51453,1884,6
33200,1883,22
57063,14526,240
46832,26382,52
46739,1705,6
57057,894,6
33787,18582,88
46819,2389,8
40158,1820,6
46761,1785,6
33788,18858,101
49895,1802,6
33789,18428,111
46756,1037,6
40175,1820,6
46837,3979,12
56276,638,4
33207,1724,8
48508,772,5
45073,2045,8
46773,1765,6
46766,1037,6
33208,3071,11
38919,1638,15
43562,1934,12
59583,2194,21
46783,1704,6
59585,4164,33
39900,7099,92
46849,1927,8
56367,846,6
33896,35533,603
46791,3176,10
46857,1035,6
56368,846,6
33154,5414,16
40196,1363,10
46872,1639,6
46779,1037,6
33400,5968,33
46787,1037,6
46867,4303,10
54202,1052,6
45411,826,5
43728,1883,6
43585,36512,607
33173,1566,6
41402,2699,34
54212,1001,6
33182,10626,56
33405,2033,23
64632,420,6
41405,6766,35
64633,140,2
41406,1627,13
54222,1004,6
36468,754,6
55930,1732,5
41421,2522,31
41407,2205,17
35907,799,7
54209,1926,21
57435,2479,27
55917,1732,5
33409,1052,6
54217,4445,26
41502,766,6
48495,888,6
33417,1395,11
55860,67367,1096
54225,1001,6
55847,18808,299
55934,88065,1423
33419,1577,6
55848,26181,418
53600,2264,9
59795,3962,29
41419,767,6
54156,8412,71
59796,2290,15
41427,767,6
41355,4157,45
34156,12846,209
33199,1081,6
55865,40574,617
46324,3154,10
41429,1300,8
46325,2488,8
43699,1965,6
41437,1292,8
34159,789,4
42165,18079,48
38328,916,6
55204,14044,233
46421,3737,41
54190,1052,6
56683,10188,22
55949,2616,8
35882,17109,218
34089,1252,8
80,52857665,36640
56828,1070,4
55971,236,4
55207,6430,92
49491,772,5
41390,774,6
35883,1688,17
50997,2991,21
35884,7372,61
41377,1293,8
36006,3446,41
443,217800,229
41378,1657,23
41472,767,6
34423,18276,310
41393,1324,17
59236,818,6
43301,1861,6
55969,1849,6
41474,774,6
34425,18797,309
46371,21380,357
44016,1512,13
41389,1293,8
44110,757,6
59246,2271,15
54199,2142,25
41484,767,6
41478,762,6
55158,17288,272
41399,1293,8
43306,1883,6
45719,776,6
46447,2536,8
53647,6165,46
55180,12208,199
55173,28338,471
55159,921,6
46375,14591,242
41487,688,5
54541,9863,25
51085,2167,17
49819,7934,18
54615,70017,1046
49907,5225,15
49923,1188,6
59356,1145,3
33903,24043,380
43249,1476,12
59291,1674,14
59198,820,5
51248,946,10
55360,1584,14
59199,1530,8
64888,420,6
64889,980,14
46801,3050,8
44065,757,6
43266,1063,6
49942,3099,8
57034,16310,273
46810,1020,6
46804,1728,6
40143,1821,6
49865,1591,6
49866,2386,9
46734,1011,6
